timestamp,subject,condition,cond_index,idx,midi_note,frequency,direction,interval,azimuth,elevation,elevation_ls,azimuth_ls,elevation_diff
2024-10-21 11:00:27.560177,sub00,viola,2,130,59.0,246.94165062806212,25,NA,-0.359344482421875,-22.735923767089844,-25.0,0.0,2.264076232910156
2024-10-21 11:00:31.934212,sub00,viola,2,131,83.0,987.7666025122484,24,NA,-0.28509521484375,-13.16169548034668,-12.5,0.0,-0.6616954803466797
2024-10-21 11:00:36.257645,sub00,viola,2,132,67.0,391.9954359817492,24,NA,-1.15081787109375,12.300517559051514,-12.5,0.0,24.800517559051514
2024-10-21 11:00:40.516237,sub00,viola,2,133,88.0,1318.5102276514797,23,NA,-1.476043701171875,14.102313995361328,0.0,0.0,14.102313995361328
2024-10-21 11:00:44.990337,sub00,viola,2,134,68.0,415.3046975799452,21,NA,-5.09417724609375,38.6980037689209,25.0,0.0,13.698003768920898
2024-10-21 11:00:49.308424,sub00,viola,2,135,72.0,523.2511306011972,22,NA,-3.9423828125,32.84264373779297,12.5,0.0,20.34264373779297
2024-10-21 11:00:54.658928,sub00,viola,2,136,80.0,830.6093951598904,25,NA,1.246917724609375,-34.32251739501953,-25.0,0.0,-9.322517395019531
2024-10-21 11:00:59.132363,sub00,viola,2,137,72.0,523.2511306011972,25,NA,0.392547607421875,-15.191499710083008,-25.0,0.0,9.808500289916992
2024-10-21 11:01:03.421588,sub00,viola,2,138,88.0,1318.5102276514797,21,NA,-5.927276611328125,40.81582260131836,25.0,0.0,15.81582260131836
2024-10-21 11:01:07.782471,sub00,viola,2,139,58.0,233.0818807590449,22,NA,-2.2723388671875,15.295145511627195,12.5,0.0,2.7951455116271955
2024-10-21 11:01:12.209879,sub00,viola,2,140,77.0,698.4564628660079,25,NA,-0.75213623046875,-17.903057098388672,-25.0,0.0,7.096942901611328
2024-10-21 11:01:16.693031,sub00,viola,2,141,71.0,493.88330125612424,25,NA,0.153961181640625,-33.78271484375,-25.0,0.0,-8.78271484375
2024-10-21 11:01:21.029646,sub00,viola,2,142,58.0,233.0818807590449,23,NA,-1.797149658203125,12.059727430343628,0.0,0.0,12.059727430343628
2024-10-21 11:01:25.481016,sub00,viola,2,143,88.0,1318.5102276514797,25,NA,-0.771759033203125,-20.15778160095215,-25.0,0.0,4.842218399047852
2024-10-21 11:01:29.987210,sub00,viola,2,144,76.0,659.2551138257397,23,NA,-2.146392822265625,12.170726299285889,0.0,0.0,12.170726299285889
2024-10-21 11:01:34.303357,sub00,viola,2,145,70.0,466.1637615180898,21,NA,-5.48345947265625,39.58933067321777,25.0,0.0,14.589330673217772
2024-10-21 11:01:38.602544,sub00,viola,2,146,55.0,195.99771799087463,24,NA,-1.5596923828125,-17.23541259765625,-12.5,0.0,-4.73541259765625
2024-10-21 11:01:43.041846,sub00,viola,2,147,73.0,554.3652619537442,24,NA,-1.27886962890625,-17.954652786254883,-12.5,0.0,-5.454652786254883
2024-10-21 11:01:47.387893,sub00,viola,2,148,60.0,261.6255653005986,23,NA,-3.1214599609375,15.504754066467283,0.0,0.0,15.504754066467283
2024-10-21 11:01:51.858220,sub00,viola,2,149,77.0,698.4564628660079,21,NA,-6.80450439453125,42.55479431152344,25.0,0.0,17.554794311523438
2024-10-21 11:01:56.169903,sub00,viola,2,150,74.0,587.3295358348153,21,NA,-7.244232177734375,41.75585174560547,25.0,0.0,16.75585174560547
2024-10-21 11:02:00.468434,sub00,viola,2,151,64.0,329.62755691286986,22,NA,-2.852630615234375,17.855194091796875,12.5,0.0,5.355194091796875
2024-10-21 11:02:04.787625,sub00,viola,2,152,83.0,987.7666025122484,22,NA,-7.7294464111328125,45.4856674194336,12.5,0.0,32.9856674194336
2024-10-21 11:02:09.197095,sub00,viola,2,153,69.0,440.0,25,NA,-3.343475341796875,-14.669891357421877,-25.0,0.0,10.330108642578123
2024-10-21 11:02:13.589242,sub00,viola,2,154,59.0,246.94165062806212,22,NA,-4.25628662109375,16.017509937286377,12.5,0.0,3.517509937286377
2024-10-21 11:02:17.937869,sub00,viola,2,155,61.0,277.1826309768721,25,NA,-2.523681640625,-30.978309631347656,-25.0,0.0,-5.978309631347656
2024-10-21 11:02:22.412449,sub00,viola,2,156,75.0,622.2539674441618,23,NA,-3.2095947265625,11.101414918899536,0.0,0.0,11.101414918899536
2024-10-21 11:02:26.769376,sub00,viola,2,157,57.0,220.0,21,NA,-7.536895751953125,40.76800727844238,25.0,0.0,15.768007278442385
2024-10-21 11:02:31.100905,sub00,viola,2,158,58.0,233.0818807590449,21,NA,-7.596405029296875,38.068708419799805,25.0,0.0,13.068708419799805
2024-10-21 11:02:35.527378,sub00,viola,2,159,63.0,311.1269837220809,25,NA,-4.383575439453125,-18.907224655151367,-25.0,0.0,6.092775344848633
2024-10-21 11:02:39.780070,sub00,viola,2,160,69.0,440.0,22,NA,-5.077606201171875,16.987643241882324,12.5,0.0,4.487643241882324
2024-10-21 11:02:44.089668,sub00,viola,2,161,59.0,246.94165062806212,21,NA,-8.280731201171875,37.11336135864258,25.0,0.0,12.113361358642578
2024-10-21 11:02:48.492756,sub00,viola,2,162,61.0,277.1826309768721,22,NA,-6.51702880859375,16.549433708190918,12.5,0.0,4.049433708190918
2024-10-21 11:02:52.937163,sub00,viola,2,163,63.0,311.1269837220809,21,NA,-10.22418212890625,38.67227363586426,25.0,0.0,13.672273635864258
2024-10-21 11:02:57.240156,sub00,viola,2,164,61.0,277.1826309768721,23,NA,-5.9049072265625,-12.938932418823242,0.0,0.0,-12.938932418823242
2024-10-21 11:03:01.978970,sub00,viola,2,165,59.0,246.94165062806212,23,NA,-4.91314697265625,-28.962125396728517,0.0,0.0,-28.962125396728517
2024-10-21 11:03:06.437347,sub00,viola,2,166,68.0,415.3046975799452,24,NA,-4.9010009765625,-12.779476165771484,-12.5,0.0,-0.2794761657714844
2024-10-21 11:03:10.797037,sub00,viola,2,167,73.0,554.3652619537442,23,NA,-6.118072509765625,15.922329425811768,0.0,0.0,15.922329425811768
2024-10-21 11:03:15.317301,sub00,viola,2,168,60.0,261.6255653005986,21,NA,-9.553436279296877,38.844329833984375,25.0,0.0,13.844329833984377
2024-10-21 11:03:20.022191,sub00,viola,2,169,83.0,987.7666025122484,25,NA,-5.688751220703125,-28.676048278808594,-25.0,0.0,-3.6760482788085938
2024-10-21 11:03:48.743797,sub00,piano,3,0,69.0,440.0,21,NA,-1.060211181640625,16.5005202293396,25.0,0.0,-8.4994797706604
2024-10-21 11:03:53.177072,sub00,piano,3,1,74.0,587.3295358348153,24,NA,0.57318115234375,-15.405061721801758,-12.5,0.0,-2.905061721801758
2024-10-21 11:03:57.553778,sub00,piano,3,2,83.0,987.7666025122484,22,NA,-3.803741455078125,38.26560974121094,12.5,0.0,25.765609741210938
2024-10-21 11:04:02.394999,sub00,piano,3,3,66.0,369.9944227116344,24,NA,0.97882080078125,-30.115570068359375,-12.5,0.0,-17.615570068359375
2024-10-21 11:04:06.832244,sub00,piano,3,4,71.0,493.88330125612424,22,NA,-0.997406005859375,15.502972602844238,12.5,0.0,3.0029726028442383
2024-10-21 11:04:11.228690,sub00,piano,3,5,69.0,440.0,23,NA,-0.856658935546875,-16.77519989013672,0.0,0.0,-16.77519989013672
2024-10-21 11:04:15.853937,sub00,piano,3,6,55.0,195.99771799087463,25,NA,-0.415283203125,-32.17672348022461,-25.0,0.0,-7.176723480224609
2024-10-21 11:04:20.280960,sub00,piano,3,7,70.0,466.1637615180898,22,NA,-1.9188232421875,14.102290630340576,12.5,0.0,1.6022906303405762
2024-10-21 11:04:24.642153,sub00,piano,3,8,75.0,622.2539674441618,25,NA,-1.652618408203125,-15.496198654174805,-25.0,0.0,9.503801345825195
2024-10-21 11:04:29.236365,sub00,piano,3,9,65.0,349.22823143300394,25,NA,-2.13214111328125,-14.643218994140623,-25.0,0.0,10.356781005859377
2024-10-21 11:04:33.820448,sub00,piano,3,10,71.0,493.88330125612424,25,NA,-1.239013671875,-15.843223571777344,-25.0,0.0,9.156776428222656
2024-10-21 11:04:38.183641,sub00,piano,3,11,73.0,554.3652619537442,25,NA,-2.006439208984375,-32.9435920715332,-25.0,0.0,-7.943592071533203
2024-10-21 11:04:42.814855,sub00,piano,3,12,60.0,261.6255653005986,22,NA,-3.40301513671875,12.07037901878357,12.5,0.0,-0.4296209812164306
2024-10-21 11:04:47.303684,sub00,piano,3,13,86.0,1174.6590716696303,21,NA,-6.969512939453125,37.3577995300293,25.0,0.0,12.357799530029297
2024-10-21 11:04:51.873517,sub00,piano,3,14,74.0,587.3295358348153,25,NA,-3.281494140625,-14.733999252319336,-25.0,0.0,10.266000747680664
2024-10-21 11:04:56.231205,sub00,piano,3,15,64.0,329.62755691286986,23,NA,-4.739166259765625,14.67661476135254,0.0,0.0,14.67661476135254
2024-10-21 11:05:00.945773,sub00,piano,3,16,88.0,1318.5102276514797,24,NA,-4.3292236328125,-16.849624633789062,-12.5,0.0,-4.3496246337890625
2024-10-21 11:05:05.339004,sub00,piano,3,17,61.0,277.1826309768721,23,NA,-4.466094970703125,12.287435293197632,0.0,0.0,12.287435293197632
2024-10-21 11:05:09.733480,sub00,piano,3,18,67.0,391.9954359817492,22,NA,-4.535308837890625,13.59562873840332,12.5,0.0,1.0956287384033203
2024-10-21 11:05:14.133024,sub00,piano,3,19,76.0,659.2551138257397,22,NA,-7.766693115234375,34.705753326416016,12.5,0.0,22.205753326416016
2024-10-21 11:05:18.510848,sub00,piano,3,20,77.0,698.4564628660079,21,NA,-7.20916748046875,32.949228286743164,25.0,0.0,7.949228286743164
2024-10-21 11:05:23.198002,sub00,piano,3,21,79.0,783.9908719634984,24,NA,-5.960784912109375,15.13629150390625,-12.5,0.0,27.63629150390625
2024-10-21 11:05:27.530617,sub00,piano,3,22,77.0,698.4564628660079,24,NA,-4.874542236328125,-13.571359634399414,-12.5,0.0,-1.071359634399414
2024-10-21 11:05:31.893304,sub00,piano,3,23,75.0,622.2539674441618,23,NA,-5.328460693359375,-13.727897644042969,0.0,0.0,-13.727897644042969
2024-10-21 11:05:36.272034,sub00,piano,3,24,72.0,523.2511306011972,21,NA,-6.468719482421875,17.725839614868164,25.0,0.0,-7.274160385131836
2024-10-21 11:05:40.661761,sub00,piano,3,25,85.0,1108.7305239074883,21,NA,-8.757904052734375,37.58739280700683,25.0,0.0,12.587392807006829
2024-10-21 11:05:46.117917,sub00,piano,3,26,58.0,233.0818807590449,21,NA,-7.996429443359375,35.79014205932617,25.0,0.0,10.790142059326172
2024-10-21 11:05:50.815832,sub00,piano,3,27,84.0,1046.5022612023945,22,NA,-7.226959228515625,32.41988754272461,12.5,0.0,19.91988754272461
