stimulus,band,center_freq_hz,level_db
stim83_cicadas.wav,0,172.99803857099127,7.067190469414946
stim83_cicadas.wav,1,262.4970238432671,7.193305539789318
stim83_cicadas.wav,2,371.4957880296142,5.1298362834633995
stim83_cicadas.wav,3,504.9942744413329,4.439618752559623
stim83_cicadas.wav,4,668.4924207208535,5.4142333491248404
stim83_cicadas.wav,5,867.9901588417365,6.224771313625748
stim83_cicadas.wav,6,1111.4873981020623,5.668432050064619
stim83_cicadas.wav,7,1409.9840137866918,6.763774205889275
stim83_cicadas.wav,8,1773.9798868493556,15.237421731728498
stim83_cicadas.wav,9,2219.4748358862144,26.28151537447223
stim83_cicadas.wav,10,2763.46866815569,30.311896679109665
stim83_cicadas.wav,11,3428.9611228897634,25.860174266628043
stim83_cicadas.wav,12,4241.951905307196,46.477321674590385
stim83_cicadas.wav,13,5235.940635593701,51.97485044100634
stim83_cicadas.wav,14,6450.92686023968,43.18794296238703
stim83_cicadas.wav,15,7936.410018027007,43.237531658502434
stim83_cicadas.wav,16,9751.389440029025,35.94078925794179
stim83_cicadas.wav,17,11970.364281584109,22.192006909867228
stim83_cicadas.wav,18,14682.333533633406,12.82895023088203
stim83_cicadas.wav,19,17997.79594335665,-7.746394245665393
stim387_typing.wav,0,172.99803857099127,36.7610399994855
stim387_typing.wav,1,262.4970238432671,27.448071628224437
stim387_typing.wav,2,371.4957880296142,36.11403719472152
stim387_typing.wav,3,504.9942744413329,40.585796592935594
stim387_typing.wav,4,668.4924207208535,41.73771958748979
stim387_typing.wav,5,867.9901588417365,35.345248171809146
stim387_typing.wav,6,1111.4873981020623,37.69086005626654
stim387_typing.wav,7,1409.9840137866918,38.631863317099636
stim387_typing.wav,8,1773.9798868493556,40.545322733387614
stim387_typing.wav,9,2219.4748358862144,42.65247468944694
stim387_typing.wav,10,2763.46866815569,39.834072551775456
stim387_typing.wav,11,3428.9611228897634,39.62025371178227
stim387_typing.wav,12,4241.951905307196,38.75202053172192
stim387_typing.wav,13,5235.940635593701,32.62924135688477
stim387_typing.wav,14,6450.92686023968,38.696951305362134
stim387_typing.wav,15,7936.410018027007,39.4358509592204
stim387_typing.wav,16,9751.389440029025,38.5878143188265
stim387_typing.wav,17,11970.364281584109,35.74781302049937
stim387_typing.wav,18,14682.333533633406,32.58319078415731
stim387_typing.wav,19,17997.79594335665,23.749291092411188
stim224_walking_on_leaves.wav,0,172.99803857099127,28.34393994526973
stim224_walking_on_leaves.wav,1,262.4970238432671,32.36123090568549
stim224_walking_on_leaves.wav,2,371.4957880296142,34.7449610258454
stim224_walking_on_leaves.wav,3,504.9942744413329,37.31093665815508
stim224_walking_on_leaves.wav,4,668.4924207208535,39.59473876452105
stim224_walking_on_leaves.wav,5,867.9901588417365,39.842311395740225
stim224_walking_on_leaves.wav,6,1111.4873981020623,40.74245926131027
stim224_walking_on_leaves.wav,7,1409.9840137866918,40.58205115225235
stim224_walking_on_leaves.wav,8,1773.9798868493556,41.67875766169416
stim224_walking_on_leaves.wav,9,2219.4748358862144,43.287665379777124
stim224_walking_on_leaves.wav,10,2763.46866815569,43.824988061874485
stim224_walking_on_leaves.wav,11,3428.9611228897634,43.296287681267465
stim224_walking_on_leaves.wav,12,4241.951905307196,44.16757220201574
stim224_walking_on_leaves.wav,13,5235.940635593701,44.43055394373594
stim224_walking_on_leaves.wav,14,6450.92686023968,45.00616532310569
stim224_walking_on_leaves.wav,15,7936.410018027007,43.317785166693895
stim224_walking_on_leaves.wav,16,9751.389440029025,37.241866734466555
stim224_walking_on_leaves.wav,17,11970.364281584109,17.712016507630494
stim224_walking_on_leaves.wav,18,14682.333533633406,-1.8968119141839304
stim224_walking_on_leaves.wav,19,17997.79594335665,-10.711520497512101
stim29_biting_and_chewing.wav,0,172.99803857099127,38.65655468562159
stim29_biting_and_chewing.wav,1,262.4970238432671,45.96706540334513
stim29_biting_and_chewing.wav,2,371.4957880296142,41.506852875184485
stim29_biting_and_chewing.wav,3,504.9942744413329,39.138765875953595
stim29_biting_and_chewing.wav,4,668.4924207208535,39.675670369141756
stim29_biting_and_chewing.wav,5,867.9901588417365,42.02652087024391
stim29_biting_and_chewing.wav,6,1111.4873981020623,43.155545590144655
stim29_biting_and_chewing.wav,7,1409.9840137866918,42.64131930008044
stim29_biting_and_chewing.wav,8,1773.9798868493556,39.39847034317544
stim29_biting_and_chewing.wav,9,2219.4748358862144,43.843664032949896
stim29_biting_and_chewing.wav,10,2763.46866815569,45.58565366586939
stim29_biting_and_chewing.wav,11,3428.9611228897634,40.50123335501872
stim29_biting_and_chewing.wav,12,4241.951905307196,37.97726233027289
stim29_biting_and_chewing.wav,13,5235.940635593701,35.68244233868149
stim29_biting_and_chewing.wav,14,6450.92686023968,40.395070396563696
stim29_biting_and_chewing.wav,15,7936.410018027007,37.24432349824881
stim29_biting_and_chewing.wav,16,9751.389440029025,33.0385600930652
stim29_biting_and_chewing.wav,17,11970.364281584109,35.20566532526757
stim29_biting_and_chewing.wav,18,14682.333533633406,30.44230455320223
stim29_biting_and_chewing.wav,19,17997.79594335665,29.85919423931194
stim488_busy_signal.wav,0,172.99803857099127,10.87511141198721
stim488_busy_signal.wav,1,262.4970238432671,11.198485943286734
stim488_busy_signal.wav,2,371.4957880296142,33.73356702742321
stim488_busy_signal.wav,3,504.9942744413329,32.93039433851454
stim488_busy_signal.wav,4,668.4924207208535,27.587400354315143
stim488_busy_signal.wav,5,867.9901588417365,40.80363643077199
stim488_busy_signal.wav,6,1111.4873981020623,49.194356859484294
stim488_busy_signal.wav,7,1409.9840137866918,51.412861785820965
stim488_busy_signal.wav,8,1773.9798868493556,34.21773186033918
stim488_busy_signal.wav,9,2219.4748358862144,38.92003349331438
stim488_busy_signal.wav,10,2763.46866815569,27.92994775770603
stim488_busy_signal.wav,11,3428.9611228897634,25.65628994908589
