stimulus,spectral_centroid_hz
stim102_crumpling_paper.wav,5702.642235695911
stim103_crying.wav,3212.1522862966835
stim105_cutting_with_scissors.wav,4000.22591500941
stim107_dial_tone.wav,731.1306696976727
stim108_telephone_dialing.wav,4772.730404789149
stim114_dishes_clanking.wav,3876.3799144670193
stim116_dog_barking.wav,2727.189269979333
stim117_dog_drinking.wav,3583.3712500081037
stim118_puppy_whining.wav,3193.48182674276
stim11_baby_crying.wav,2856.7906533433647
stim124_doorbell.wav,1827.0961925120257
stim12_background_speech.wav,1654.1521701738266
stim132_water_dripping.wav,6873.960682027713
stim136_drum_roll.wav,3320.0674567545752
stim137_drum_solo.wav,2969.5749976829525
stim138_duck_quack.wav,2284.2342082037017
stim140_electric_hand_drill.wav,5903.2784059685855
stim150_finger_tapping.wav,2505.454167303432
stim155_flag_flapping.wav,1602.4735776742125
stim156_wings_flapping.wav,4885.829523678857
stim158_flushing.wav,3022.741251710272
stim162_frog_croaking.wav,2291.8856238016733
stim163_frying.wav,7892.613296931208
stim167_gargling.wav,1424.4212349314719
stim172_geese.wav,2820.693015034033
stim174_girl_speaking.wav,2387.7136658479158
stim182_grunting_and_groaning.wav,1978.8087558896177
stim183_guitar.wav,2050.5820567589635
stim185_hair_dryer.wav,3173.1198832979485
stim186_hammering.wav,2399.8508785819577
stim18_basketball_dribbling.wav,2193.4083457997017
stim193_heavy_metal_music.wav,4631.602074056106
stim194_helicopter.wav,1033.3269970790823
stim197_road_traffic.wav,1958.1900246054236
stim19_electric_bass.wav,1087.323386699506
stim200_humming.wav,956.0640920999953
stim209_kettle_whistling.wav,3717.1219001523937
stim211_keys_jingling.wav,7806.487868771409
stim215_door_knocking.wav,807.8308588934415
stim221_laughing.wav,2156.949266279632
stim224_walking_on_leaves.wav,4239.908472340896
stim232_man_speaking.wav,2957.815269809581
stim236_microwave_running.wav,1605.7261901722331
stim238_baby_talk.wav,2392.7424959888963
stim23_bees_buzzing.wav,2982.459148611885
stim240_motorcycle_reving.wav,831.9685715749864
stim246_newspaper_rustling.wav,4054.895719035129
stim254_orchestra_music.wav,1603.3108049478467
stim25_bike_bell.wav,7397.655877520471
stim268_piano.wav,683.6190706814848
stim273_airplane_taking_off.wav,2094.8511676695657
stim276_pouring_liquid.wav,2475.7324536115484
stim277_pouring_water_out_of_bottle.wav,3325.1683540077674
stim279_printing.wav,6878.291730982058
stim283_contemporary_rb.wav,2669.8829164317144
stim285_radio_or_tv_static.wav,2677.383529384783
stim289_rap_song.wav,2466.6294947036176
stim28_big_band_music.wav,2310.3762375723204
stim292_crow.wav,2891.9809563038298
stim293_whistle.wav,3165.1284485093233
stim296_rock_guitar_solo.wav,3185.499831917774
stim298_contemporary_rock_song.wav,3615.7237183487086
stim29_biting_and_chewing.wav,4305.081711880377
stim309_running_up_stairs.wav,2621.3617167105735
stim312_wind.wav,766.2028050271291
stim315_saxophone_jazz_solo.wav,2796.942252132295
stim317_horror_film_sound_effects.wav,1602.1686224021867
