stimulus,spectral_centroid_hz,f0_hz,pyin_voiced_fraction
stim83_cicadas.wav,6105.731622418133,1681.9022819441261,0.12716763005780346
stim387_typing.wav,3457.4630946778366,83.36547561031227,0.1676300578034682
stim224_walking_on_leaves.wav,4239.908472340896,,0.0
stim29_biting_and_chewing.wav,4305.081711880377,83.85668245957785,0.05202312138728324
stim488_busy_signal.wav,1600.4637685817565,1250.7588929652752,1.0
stim232_man_speaking.wav,2957.815269809581,111.28342959154513,0.5317919075144508
stim158_flushing.wav,3022.741251710272,332.3351100903732,0.3236994219653179
stim405_whispering.wav,4420.175484894028,,0.0
stim33_bluegrass.wav,2264.2399503874453,99.86043580907202,0.5144508670520231
stim155_flag_flapping.wav,1602.4735776742125,73.1264162025976,0.10982658959537572
stim186_hammering.wav,2399.8508785819577,,0.0
stim512_heart_beat.wav,1199.3549763119447,65.40639132514966,0.5375722543352601
stim517_soundtrack_from_an_action_scene.wav,2477.9931314131272,68.2962632198488,0.4393063583815029
stim197_road_traffic.wav,1958.1900246054236,65.81527699543572,0.36416184971098264
stim332_angry_shouting.wav,2159.6873514143376,350.06336518187794,0.8323699421965318
stim524_cartoon_sound_effects.wav,1556.3326864765047,378.0674332638968,0.7109826589595376
stim411_car_power_windows.wav,2318.5261392988414,75.89750825807587,0.1791907514450867
stim498_computer_startup_sound.wav,1383.568468671271,179.97379850244928,0.6763005780346821
stim289_rap_song.wav,2466.6294947036176,66.82517764711073,0.838150289017341
stim18_basketball_dribbling.wav,2193.4083457997017,65.67648782852318,0.1329479768786127
stim394_violin.wav,1816.2302320285626,433.65134500217073,0.838150289017341
stim364_tearing.wav,7897.269654087599,67.44565442525307,0.046242774566473986
stim35_boiling_water.wav,2374.923698388329,,0.0
stim136_drum_roll.wav,3320.0674567545752,233.98875535540333,0.9884393063583815
stim25_bike_bell.wav,7397.655877520471,936.4041784434902,0.9942196531791907
stim504_german.wav,3013.6345828143512,145.9467501351006,0.5606936416184971
stim236_microwave_running.wav,1605.7261901722331,100.2069472107352,0.9190751445086706
stim437_contemporary_pop_song.wav,3927.109240666565,66.23427437322815,0.4161849710982659
stim312_wind.wav,766.2028050271291,328.71437239668506,0.4161849710982659
stim138_duck_quack.wav,2284.2342082037017,,0.0
stim254_orchestra_music.wav,1603.3108049478467,132.3585411832311,0.7167630057803468
stim347_songbird.wav,2766.5391316790656,1526.9122296919475,0.49710982658959535
stim268_piano.wav,683.6190706814848,119.05705901131522,0.4277456647398844
stim193_heavy_metal_music.wav,4631.602074056106,77.60899208510597,0.20809248554913296
stim167_gargling.wav,1424.4212349314719,133.115350210052,0.10404624277456648
stim490_soundtrack_from_a_western.wav,1953.5429573593756,92.81582440289138,0.6647398843930635
stim108_telephone_dialing.wav,4772.730404789149,515.5489142247906,0.4046242774566474
stim11_baby_crying.wav,2856.7906533433647,504.88472792046537,0.6358381502890174
stim318_school_bell.wav,8718.058868705133,1652.3148869717118,0.9190751445086706
stim41_breathing.wav,3950.9810952488556,1483.348314440286,0.5317919075144508
stim309_running_up_stairs.wav,2621.3617167105735,,0.0
stim117_dog_drinking.wav,3583.3712500081037,,0.0
stim162_frog_croaking.wav,2291.8856238016733,1110.224172197282,0.9884393063583815
stim116_dog_barking.wav,2727.189269979333,754.817915144076,0.6242774566473989
stim200_humming.wav,956.0640920999953,205.09817941427383,0.9942196531791907
stim398_walking_on_gravel.wav,5643.043607465733,,0.0
stim508_russian.wav,2290.221961909449,137.1186547653308,0.5375722543352601
stim68_cat_meowing.wav,2081.724784695866,664.216643896081,0.9017341040462428
stim60_car_horn.wav,2156.769109508774,91.96585291173605,0.9595375722543352
stim370_toothbrushing.wav,7590.229015725749,,0.0
stim401_walking_with_heels.wav,6076.284196672937,65.40639132514967,0.03468208092485549
stim371_squeaky_toy.wav,4812.763977734016,765.9257249807505,0.8265895953757225
stim292_crow.wav,2891.9809563038298,1857.5311895743387,0.9653179190751445
stim209_kettle_whistling.wav,3717.1219001523937,1773.5863742855418,0.9884393063583815
stim105_cutting_with_scissors.wav,4000.22591500941,,0.0
stim185_hair_dryer.wav,3173.1198832979485,1093.544613325418,0.9364161849710982
stim360_cymbal_crash.wav,4377.088645712071,,0.0
stim91_coughing.wav,3028.209074631991,1577.4323480939806,0.2543352601156069
stim320_scratching.wav,10254.740870494223,,0.0
stim485_soul_music.wav,2945.1509694795755,553.9123146770095,0.2023121387283237
stim315_saxophone_jazz_solo.wav,2796.942252132295,289.68862439051486,0.5317919075144508
stim150_finger_tapping.wav,2505.454167303432,65.40639132514967,0.19653179190751446
stim523_computer-synthesized_speech.wav,2882.85943755456,185.3885104625318,0.7514450867052023
stim194_helicopter.wav,1033.3269970790823,76.42595695367133,0.9942196531791907
stim420_zipper.wav,2682.1577058846874,67.15176396298256,0.07514450867052024
stim383_truck_beeping_while_backing_up.wav,1675.6488418501515,1167.8348455701246,0.5086705202312138
stim163_frying.wav,7892.613296931208,,0.0
stim366_telephone_ringing.wav,8211.175954391361,1921.2609580763196,0.953757225433526
stim50_camera_snapping_photos.wav,8277.695360635063,,0.0
stim246_newspaper_rustling.wav,4054.895719035129,,0.0
stim329_electric_shaver.wav,5925.171885098489,119.58261162732819,0.32947976878612717
stim384_trumpet_jazz_solo.wav,1568.2016956064315,389.8234238685108,0.3815028901734104
stim484_soundtrack_for_a_sad_movie_scene.wav,742.5429791242381,335.0702880666986,0.7745664739884393
stim375_train_whistle.wav,1662.3792789534614,93.9208548652453,0.17341040462427745
stim293_whistle.wav,3165.1284485093233,1182.635728468779,0.9826589595375722
stim62_car_skidding.wav,1760.4995111084436,833.0811818865366,1.0
stim279_printing.wav,6878.291730982058,1508.3517392687966,0.7861271676300579
stim465_song_from_a_musical.wav,2411.2689531163537,107.57352466946209,0.47398843930635837
stim78_chimes_in_the_wind.wav,3878.7161587576707,290.35974658039396,0.7687861271676301
stim88_coin_dropping.wav,7244.343251795075,1993.5927410301697,0.04046242774566474
stim503_italian.wav,1885.0750439394444,96.13492738381291,0.6358381502890174
stim358_swimming.wav,2429.524593916488,,0.0
stim66_cash_register.wav,6296.620184575827,1333.4239987295005,0.35260115606936415
stim86_clock_ticking.wav,6756.506183810973,68.34415277398928,0.046242774566473986
stim102_crumpling_paper.wav,5702.642235695911,,0.0
stim352_spraying.wav,11780.796153161076,,0.0
stim97_crickets.wav,5923.4955751438865,1944.0188542061896,0.5664739884393064
stim434_classic_rock.wav,2767.5503755922346,65.40639132514966,0.09826589595375723
stim215_door_knocking.wav,807.8308588934415,65.55212084459225,0.2023121387283237
stim406_whistling.wav,4661.493833357083,1307.4564944600938,0.7572254335260116
stim89_coin_in_vending_machine.wav,4481.845477870828,124.4308764813587,0.1676300578034682
stim137_drum_solo.wav,2969.5749976829525,76.48253235709046,0.630057803468208
stim124_doorbell.wav,1827.0961925120257,143.36531580520867,0.8728323699421965
stim505_chinese.wav,3395.733416135957,215.0785610613811,0.7745664739884393
stim76_chair_rolling.wav,1787.868720840162,,0.0
stim273_airplane_taking_off.wav,2094.8511676695657,,0.0
stim221_laughing.wav,2156.949266279632,1598.718640528549,0.2023121387283237
stim277_pouring_water_out_of_bottle.wav,3325.1683540077674,1559.0741542446633,0.44508670520231214
stim69_cat_purring.wav,812.5344596580081,73.66366051787507,0.35260115606936415
stim172_geese.wav,2820.693015034033,1086.879862689,0.5722543352601156
stim461_latin_music.wav,2510.5608863546454,105.24147632676221,0.6763005780346821
stim321_scream.wav,2402.871532491234,1516.1840718179162,0.9653179190751445
stim477_reggae.wav,3119.0467628369474,73.23672583988575,0.3699421965317919
stim296_rock_guitar_solo.wav,3185.499831917774,,0.0
stim31_blender.wav,3724.773582945666,66.64215651955365,0.6763005780346821
stim19_electric_bass.wav,1087.323386699506,74.72630195942571,0.6820809248554913
stim59_car_engine_starting.wav,2143.0514791665946,,0.0
stim399_walking_on_hard_surface.wav,4550.592198325902,65.40639132514966,0.046242774566473986
stim183_guitar.wav,2050.5820567589635,89.02764240019818,0.6763005780346821
stim283_contemporary_rb.wav,2669.8829164317144,67.66473272052498,0.3815028901734104
stim107_dial_tone.wav,731.1306696976727,356.54142628219194,0.9942196531791907
stim51_car_accelerating.wav,2288.713290758394,74.78522330404624,0.8959537572254336
stim501_spanish.wav,2386.3286013310976,133.68447897472336,0.7572254335260116
stim12_background_speech.wav,1654.1521701738266,116.60970364536391,0.4682080924855491
stim72_cello.wav,969.2316472768556,154.78298834334095,0.884393063583815
stim240_motorcycle_reving.wav,831.9685715749864,117.4435545209194,0.7745664739884393
stim174_girl_speaking.wav,2387.7136658479158,427.0069535212843,0.7861271676300579
stim132_water_dripping.wav,6873.960682027713,66.35942911419193,0.1907514450867052
stim502_french.wav,3770.303413728913,219.86103055382628,0.8208092485549133
stim276_pouring_liquid.wav,2475.7324536115484,1021.209321678129,0.5086705202312138
stim418_writing_on_paper.wav,8089.339540611307,,0.0
stim52_car_alarm.wav,2661.3928355527464,805.0806990441363,0.9132947976878613
stim238_baby_talk.wav,2392.7424959888963,265.99330027884906,0.8323699421965318
stim391_vacuum.wav,4089.4132431572025,,0.0
stim5_alarm_clock.wav,2983.5835641675712,934.0819680522121,0.9595375722543352
stim334_shuffling_cards.wav,3845.5351068318723,,0.0
stim515_sports_anouncer.wav,2269.0607019015606,,0.0
stim103_crying.wav,3212.1522862966835,445.45406878351133,0.6127167630057804
stim525_dog_panting.wav,2366.2763703276955,,0.0
stim118_puppy_whining.wav,3193.48182674276,1403.9860084516895,0.8728323699421965
stim298_contemporary_rock_song.wav,3615.7237183487086,65.85557642238356,0.12716763005780346
stim349_water_splashing.wav,5720.289084604251,,0.0
stim393_video_game_music.wav,3672.7587802941516,164.67141131706714,0.4393063583815029
stim80_chopping_food.wav,3769.701277103086,68.45112979594867,0.15606936416184972
stim38_boy_speaking.wav,3789.837156438338,382.44909127605234,0.8786127167630058
stim480_rubbing_hands.wav,6531.214913105626,,0.0
stim7_applause.wav,3189.4298212539757,,0.0
stim337_siren.wav,1598.972768181001,1040.8472605842676,0.953757225433526
stim82_church_bells.wav,1251.332126256368,192.95015246747602,0.7109826589595376
stim516_stream.wav,2555.05071585481,,0.0
stim317_horror_film_sound_effects.wav,1602.1686224021867,66.78609718415206,0.2947976878612717
stim368_thunder.wav,1373.4929453391317,67.84044510045788,0.3468208092485549
stim23_bees_buzzing.wav,2982.459148611885,206.4001643822176,0.48554913294797686
stim506_hindi.wav,2345.5776524097078,225.90757904506805,0.884393063583815
stim422_baby_babbling.wav,2648.792436869689,600.85009745658,0.884393063583815
stim513_running_water.wav,5990.908272059566,,0.0
stim285_radio_or_tv_static.wav,2677.383529384783,68.0114310803682,0.3236994219653179
stim71_cellphone_vibrating.wav,2676.2407264863136,215.95983288525198,0.953757225433526
stim414_woman_speaking.wav,3005.0473720432865,240.33744890151056,0.6416184971098265
stim156_wings_flapping.wav,4885.829523678857,70.2510970247672,0.057803468208092484
stim114_dishes_clanking.wav,3876.3799144670193,69.15959913252021,0.046242774566473986
stim98_crowd_cheering.wav,2858.0950466464233,854.5915365427998,0.884393063583815
stim34_blues_band.wav,2449.4603164475534,85.93409969838316,0.7514450867052023
stim510_crowd_laughing.wav,2581.5804536663845,,0.0
stim392_velcro.wav,8630.618563619551,,0.0
stim211_keys_jingling.wav,7806.487868771409,,0.0
stim365_techno.wav,3268.545180014176,66.45594645912036,0.630057803468208
stim475_punk_music.wav,2314.3956643194592,85.49264636762776,0.7167630057803468
stim182_grunting_and_groaning.wav,1978.8087558896177,1102.2856984799073,0.3988439306358382
stim140_electric_hand_drill.wav,5903.2784059685855,1966.2635282730184,0.10404624277456648
stim28_big_band_music.wav,2310.3762375723204,149.89201811098013,0.6127167630057804
stim527_ringtone.wav,1388.8818900753254,313.87456603381213,0.8901734104046243
stim373_train_warning_bell.wav,2360.357169620642,380.2402506991082,1.0
stim92_country_song.wav,2594.4664432326276,87.35325496497678,0.3872832369942196
stim486_sports_arena_buzzer.wav,2833.176463453646,282.8914566759755,0.8786127167630058
