elevation,gain_db_<0.8,gain_db_0.8–1.4,gain_db_1.4–2.5,gain_db_2.5–4.5,gain_db_4.5–8,gain_db_8-16,gain_db_16-32
-25.0,-13.579413767784454,-4.721134553373184,4.111084146944886,6.2019855858797985,-4.426212468393745,-5.401126783067867,-23.193391293205377
-12.5,-12.973374092939725,-6.2094570795799795,5.537972506864536,5.715148347215137,-5.609476462478464,-3.1048087304068304,-22.153463347445864
0.0,-12.855498013679227,-7.495592393302712,6.013043391729547,5.206548397923378,-5.5444093313244815,-4.694588677921296,-22.077525142581916
12.5,-12.985165710714359,-7.535148672322241,5.821345979564152,5.279728319605895,-3.1072601744874486,-5.467303439400852,-22.04438543255302
25.0,-13.349828912424684,-7.0270961721674,5.225679128101358,5.0721382584023695,-1.3344989277883288,-8.410447745373038,-21.87243665043364
