,condition,stimulus,feature,value,midi,frequency,value_ortho_freq
11,viola_complex,stim_57_viola_complex,centroid,519.4698296712176,57,220.0,-50.22288517588834
12,viola_complex,stim_58_viola_complex,centroid,402.71119021377393,58,233.0818807590449,-183.98577565226554
13,viola_complex,stim_59_viola_complex,centroid,448.80416625413056,59,246.94165062806212,-155.90817601369076
14,viola_complex,stim_60_viola_complex,centroid,323.37469197701125,60,261.6255653005986,-300.42427671948906
15,viola_complex,stim_61_viola_complex,centroid,352.2090204384228,61,277.1826309768721,-291.8115245550858
16,viola_complex,stim_62_viola_complex,centroid,346.9122462171818,62,293.66476791740763,-318.5323125727777
17,viola_complex,stim_63_viola_complex,centroid,606.0796172210752,63,311.1269837220809,-82.06289351926841
18,viola_complex,stim_64_viola_complex,centroid,508.140517507678,64,329.62755691286986,-204.04963564163808
19,viola_complex,stim_65_viola_complex,centroid,524.1974261581503,65,349.22823143300394,-213.4703166298217
20,viola_complex,stim_66_viola_complex,centroid,1015.1510986252767,66,369.9944227116344,250.4907898819181
21,viola_complex,stim_67_viola_complex,centroid,1058.242034546265,67,391.9954359817492,264.9840983511151
22,viola_complex,stim_68_viola_complex,centroid,907.7778991825372,68,415.3046975799452,84.22183211597803
23,viola_complex,stim_69_viola_complex,centroid,1234.7136736136374,69,440.0,379.0578550607522
24,viola_complex,stim_70_viola_complex,centroid,1326.65548486747,70,466.1637615180898,436.99116427671765
25,viola_complex,stim_71_viola_complex,centroid,1557.9508767151856,71,493.88330125612424,632.2558033208695
26,viola_complex,stim_72_viola_complex,centroid,979.6859636980064,72,523.2511306011972,15.817637446332355
27,viola_complex,stim_73_viola_complex,centroid,957.4023331643236,73,554.3652619537442,-46.909145681366795
28,viola_complex,stim_74_viola_complex,centroid,1200.2641766686197,74,587.3295358348153,153.1046702300273
29,viola_complex,stim_75_viola_complex,centroid,1101.0604610647613,75,622.2539674441618,8.505050725400679
30,viola_complex,stim_76_viola_complex,centroid,1658.391049537752,76,659.2551138257397,517.7403543804464
31,viola_complex,stim_77_viola_complex,centroid,1896.9620551565056,77,698.4564628660079,705.3561807218882
32,viola_complex,stim_78_viola_complex,centroid,1946.930802693785,78,739.9888454232688,701.3397963483942
33,viola_complex,stim_79_viola_complex,centroid,2124.974140918219,79,783.9908719634984,822.1878796692458
34,viola_complex,stim_80_viola_complex,centroid,2215.613888093526,80,830.6093951598904,852.2313651017341
35,viola_complex,stim_81_viola_complex,centroid,2011.9799928771372,81,880.0,584.3979669126934
36,viola_complex,stim_82_viola_complex,centroid,2295.9028881241593,82,932.3275230361796,800.3038580839811
37,viola_complex,stim_83_viola_complex,centroid,2471.843129628609,83,987.7666025122484,904.1825939813034
38,viola_complex,stim_84_viola_complex,centroid,1740.8777504723453,84,1046.5022612023945,96.87070911032379
39,viola_complex,stim_85_viola_complex,centroid,1869.0041551760423,85,1108.7305239074883,144.11080862598806
40,viola_complex,stim_86_viola_complex,centroid,2034.5137778788717,86,1174.6590716696303,223.92437614301366
41,viola_complex,stim_87_viola_complex,centroid,1757.3381382288933,87,1244.5079348883237,-144.0430713085011
42,viola_complex,stim_88_viola_complex,centroid,2505.752831466183,88,1318.5102276514797,508.1810522928986
43,viola_complex,stim_89_viola_complex,centroid,2500.9890350095434,89,1396.9129257320158,401.5068972816348
44,viola_complex,stim_90_viola_complex,centroid,2452.2554498516893,90,1479.9776908465376,244.80304830223486
45,viola_complex,stim_91_viola_complex,centroid,2498.646582957121,91,1567.9817439269968,176.80367160050127
46,viola_complex,stim_92_viola_complex,centroid,2766.665501757238,92,1661.2187903197807,323.63006691498094
47,viola_complex,stim_93_viola_complex,centroid,3100.1097379675048,93,1760.0,528.6752971799438
48,viola_complex,stim_94_viola_complex,centroid,3430.996500608688,94,1864.6550460723593,723.5280516696585
49,viola_complex,stim_95_viola_complex,centroid,3575.1962177357327,95,1975.533205024497,723.6047575824482
50,viola_complex,stim_96_viola_complex,centroid,3622.2409568318785,96,2093.004522404789,617.9564852491621
51,viola_complex,stim_97_viola_complex,centroid,3905.341774734716,97,2217.4610478149766,739.2846927759342
52,viola_complex,stim_98_viola_complex,centroid,3713.124201295626,98,2349.318143339261,375.675008965236
53,viola_complex,stim_99_viola_complex,centroid,4242.241021805358,99,2489.0158697766474,723.2082138718961
0,flute,stim_100_flute,rolloff,2647.9848608837974,100,2637.020455302959,-2031.1633317570504
1,flute,stim_101_flute,rolloff,2805.39747013034,101,2793.8258514640315,-2120.643668401314
2,flute,stim_102_flute,rolloff,2969.4547996272136,102,2959.955381693075,-2218.1603033333927
3,flute,stim_103_flute,rolloff,3148.930801955105,103,3135.9634878539937,-2315.812262763228
4,flute,stim_104_flute,rolloff,3333.91468903437,104,3322.4375806395615,-2424.435223581291
5,flute,stim_105_flute,rolloff,3534.2735306206328,105,3520.0,-2535.1420015934077
6,flute,stim_106_flute,rolloff,3741.9436775887034,106,3729.3100921447217,-2657.0343985138325
7,flute,stim_107_flute,rolloff,3967.8124504989705,107,3951.066410048992,-2780.3249781365826
8,flute,stim_108_flute,rolloff,4197.184986595174,108,4186.009044809578,-2920.873890099503
9,flute,stim_55_flute,rolloff,493.0639570447903,55,195.99771799087463,-342.64957482489865
10,flute,stim_56_flute,rolloff,731.4796442011632,56,207.65234878997256,-122.58431566210857
11,flute,stim_57_flute,rolloff,881.7408110674081,57,220.0,8.235249979237551
12,flute,stim_58_flute,rolloff,936.5029177357462,58,233.0818807590449,42.39969765454498
13,flute,stim_59_flute,rolloff,744.3417385985183,59,246.94165062806212,-171.58394101599697
14,flute,stim_60_flute,rolloff,783.0397598550068,60,261.6255653005986,-156.00601026320362
15,flute,stim_61_flute,rolloff,967.0437773892507,61,277.1826309768721,3.503124644128434
16,flute,stim_62_flute,rolloff,1175.9364403886852,62,293.66476791740763,186.44436349968692
17,flute,stim_63_flute,rolloff,1260.5044433417538,63,311.1269837220809,243.5177903262545
18,flute,stim_64_flute,rolloff,1330.1915839890523,64,329.62755691286986,284.07544227247286
19,flute,stim_65_flute,rolloff,1407.499718055712,65,349.22823143300394,330.5219581027818
20,flute,stim_66_flute,rolloff,1488.99207556595,66,369.9944227116344,379.3175700594006
21,flute,stim_67_flute,rolloff,1580.0668328047122,67,391.9954359817492,435.75133207844715
22,flute,stim_68_flute,rolloff,1672.4204584331164,68,415.3046975799452,491.4041017196853
23,flute,stim_69_flute,rolloff,1110.0845832863424,69,440.0,-109.81497587688614
24,flute,stim_70_flute,rolloff,1173.7937650424594,70,466.1637615180898,-87.30111210683049
25,flute,stim_71_flute,rolloff,995.8692992591588,71,493.88330125612424,-308.8704969567592
26,flute,stim_72_flute,rolloff,1046.9773342739456,72,523.2511306011972,-304.00264294936255
27,flute,stim_73_flute,rolloff,1105.2286505756,73,554.3652619537442,-294.74109190153195
28,flute,stim_74_flute,rolloff,1175.3221212532212,74,587.3295358348153,-276.55046951166287
29,flute,stim_75_flute,rolloff,929.3628636661616,75,622.2539674441618,-577.4988793517244
30,flute,stim_76_flute,rolloff,1321.6143360911435,76,659.2551138257397,-243.50638432890287
31,flute,stim_77_flute,rolloff,1399.7331770702954,77,698.4564628660079,-227.1107798224525
32,flute,stim_78_flute,rolloff,1483.2806135220626,78,739.9888454232688,-208.9568344779234
33,flute,stim_79_flute,rolloff,2354.149542471788,79,783.9908719634984,592.6301040323706
34,flute,stim_80_flute,rolloff,2077.279126268704,80,830.6093951598904,242.35797585495447
35,flute,stim_81_flute,rolloff,1773.9488674894887,81,880.0,-138.7386878238558
36,flute,stim_82_flute,rolloff,942.0102858699848,82,932.3275230361796,-1053.067905415482
37,flute,stim_83_flute,rolloff,997.3453783416402,83,987.7666025122484,-1085.022651077083
38,flute,stim_84_flute,rolloff,1056.8681628510203,84,1046.5022612023945,-1117.9802285824835
39,flute,stim_85_flute,rolloff,1110.9551009261995,85,1108.7305239074883,-1161.872821014952
40,flute,stim_86_flute,rolloff,1179.4302220208426,86,1174.6590716696303,-1197.203396495812
41,flute,stim_87_flute,rolloff,1249.979608482871,87,1244.5079348883237,-1236.6323145397885
42,flute,stim_88_flute,rolloff,1323.8840267931353,88,1318.5102276514797,-1279.2458510338454
43,flute,stim_89_flute,rolloff,1401.3518258426966,89,1396.9129257320158,-1325.2245249296866
44,flute,stim_90_flute,rolloff,1483.4369287020108,90,1479.9776908465376,-1373.9264042848486
45,flute,stim_91_flute,rolloff,1572.4667557710168,91,1567.9817439269968,-1423.460558094706
46,flute,stim_92_flute,rolloff,1668.0856968104383,92,1661.2187903197807,-1474.6450410039486
47,flute,stim_93_flute,rolloff,1765.3604890310785,93,1760.0,-1532.903058582498
48,flute,stim_94_flute,rolloff,1870.1086593484893,94,1864.6550460723593,-1592.9361602093322
49,flute,stim_95_flute,rolloff,1983.0594120049,95,1975.533205024497,-1654.5650838194342
50,flute,stim_96_flute,rolloff,2099.8448616825403,96,2093.004522404789,-1722.7403581713547
51,flute,stim_97_flute,rolloff,2226.7514214600506,97,2217.4610478149766,-1791.7928594091395
52,flute,stim_98_flute,rolloff,2356.698993039129,98,2349.318143339261,-1869.4566809810685
53,flute,stim_99_flute,rolloff,2497.810447116587,99,2489.0158697766474,-1948.3018359156204
0,viola,stim_100_viola,rolloff,7878.395937358147,100,2637.020455302959,3199.2477447172996
1,viola,stim_101_viola,rolloff,8310.475507252926,101,2793.8258514640315,3384.434368721272
2,viola,stim_102_viola,rolloff,8832.68527918782,102,2959.955381693075,3645.070176227213
3,viola,stim_103_viola,rolloff,9312.616142005269,103,3135.9634878539937,3847.8730772869358
4,viola,stim_104_viola,rolloff,9906.140201262151,104,3322.4375806395615,4147.79028864649
5,viola,stim_105_viola,rolloff,10456.943047008448,105,3520.0,4387.527514794408
6,viola,stim_106_viola,rolloff,11068.336848664974,106,3729.3100921447217,4669.358772562438
7,viola,stim_107_viola,rolloff,11715.367446321845,107,3951.066410048992,4967.230017686292
8,viola,stim_108_viola,rolloff,10397.639785684849,108,4186.009044809578,3279.5809089901713
9,viola,stim_55_viola,rolloff,296.50577973692236,55,195.99771799087463,-539.2077521327666
10,viola,stim_56_viola,rolloff,724.4442763372283,56,207.65234878997256,-129.61968352604345
11,viola,stim_57_viola,rolloff,662.4737012461563,57,220.0,-211.03185984201423
12,viola,stim_58_viola,rolloff,702.0547867125692,58,233.0818807590449,-192.048433368632
13,viola,stim_59_viola,rolloff,744.3111770838054,59,246.94165062806212,-171.61450253070984
14,viola,stim_60_viola,rolloff,524.5662900776994,60,261.6255653005986,-414.479480040511
15,viola,stim_61_viola,rolloff,555.7571628151982,61,277.1826309768721,-407.78348992992414
16,viola,stim_62_viola,rolloff,585.3850818677987,62,293.66476791740763,-404.1069950211996
17,viola,stim_63_viola,rolloff,1716.6453198559957,63,311.1269837220809,699.6586668404964
18,viola,stim_64_viola,rolloff,1658.9562990235313,64,329.62755691286986,612.8401573069518
19,viola,stim_65_viola,rolloff,1922.2537290242385,65,349.22823143300394,845.2759690713083
20,viola,stim_66_viola,rolloff,2035.7272727272723,66,369.9944227116344,926.0527672207229
21,viola,stim_67_viola,rolloff,2177.1518625272283,67,391.9954359817492,1032.8363618009632
22,viola,stim_68_viola,rolloff,2485.6643763829043,68,415.3046975799452,1304.6480196694731
23,viola,stim_69_viola,rolloff,2203.3085912823753,69,440.0,983.4090321191468
24,viola,stim_70_viola,rolloff,2340.961478788953,70,466.1637615180898,1079.8666016396633
25,viola,stim_71_viola,rolloff,2477.0890027213063,71,493.88330125612424,1172.3492065053883
26,viola,stim_72_viola,rolloff,2087.1963624034297,72,523.2511306011972,736.2163851801215
