timestamp,subject,task,idx,stim,frequency,direction,azimuth,elevation
2024-09-20 13:57:57.900746,	Sub00,	absolute,	3,	"(622.2539674441618, 24)",	622.2539674441618,	24,	1,	2
2024-09-20 13:57:57.900826,	Sub00,	absolute,	4,	"(261.6255653005986, 24)",	261.6255653005986,	24,	1,	2
2024-09-20 13:57:57.900896,	Sub00,	absolute,	5,	"(523.2511306011972, 25)",	523.2511306011972,	25,	1,	2
2024-09-20 13:57:57.900960,	Sub00,	absolute,	6,	"(987.7666025122485, 25)",	987.7666025122485,	25,	1,	2
2024-09-20 13:57:57.901025,	Sub00,	absolute,	7,	"(440.0, 23)",	440.0,	23,	1,	2
2024-09-20 13:57:57.901094,	Sub00,	absolute,	8,	"(277.1826309768721, 21)",	277.1826309768721,	21,	1,	2
2024-09-20 13:57:57.901153,	Sub00,	absolute,	9,	"(329.62755691286986, 23)",	329.62755691286986,	23,	1,	2
2024-09-20 13:57:57.901222,	Sub00,	absolute,	10,	"(293.66476791740763, 25)",	293.66476791740763,	25,	1,	2
2024-09-20 13:57:57.901281,	Sub00,	absolute,	11,	"(440.0, 21)",	440.0,	21,	1,	2
2024-09-20 13:57:57.901338,	Sub00,	absolute,	12,	"(220.0, 23)",	220.0,	23,	1,	2
2024-09-20 13:57:57.901402,	Sub00,	absolute,	13,	"(349.22823143300394, 21)",	349.22823143300394,	21,	1,	2
2024-09-20 13:57:57.901464,	Sub00,	absolute,	14,	"(1244.5079348883237, 22)",	1244.5079348883237,	22,	1,	2
2024-09-20 13:57:57.901532,	Sub00,	absolute,	15,	"(277.1826309768721, 24)",	277.1826309768721,	24,	1,	2
2024-09-20 13:57:57.901633,	Sub00,	absolute,	16,	"(830.6093951598904, 21)",	830.6093951598904,	21,	1,	2
2024-09-20 13:57:57.901776,	Sub00,	absolute,	17,	"(207.65234878997256, 25)",	207.65234878997256,	25,	1,	2
2024-09-20 13:57:57.901903,	Sub00,	absolute,	18,	"(554.3652619537442, 21)",	554.3652619537442,	21,	1,	2
2024-09-20 13:57:57.901963,	Sub00,	absolute,	19,	"(277.1826309768721, 23)",	277.1826309768721,	23,	1,	2
2024-09-20 13:57:57.902024,	Sub00,	absolute,	20,	"(391.9954359817492, 22)",	391.9954359817492,	22,	1,	2
2024-09-20 13:57:57.902082,	Sub00,	absolute,	21,	"(311.1269837220809, 25)",	311.1269837220809,	25,	1,	2
2024-09-20 13:57:57.902152,	Sub00,	absolute,	22,	"(207.65234878997256, 23)",	207.65234878997256,	23,	1,	2
2024-09-20 13:57:57.902215,	Sub00,	absolute,	23,	"(440.0, 22)",	440.0,	22,	1,	2
2024-09-20 13:57:57.902270,	Sub00,	absolute,	24,	"(493.88330125612424, 24)",	493.88330125612424,	24,	1,	2
2024-09-20 13:57:57.902340,	Sub00,	absolute,	25,	"(261.6255653005986, 23)",	261.6255653005986,	23,	1,	2
2024-09-20 13:57:57.902396,	Sub00,	absolute,	26,	"(466.1637615180898, 21)",	466.1637615180898,	21,	1,	2
2024-09-20 13:57:57.902454,	Sub00,	absolute,	27,	"(369.9944227116344, 24)",	369.9944227116344,	24,	1,	2
2024-09-20 13:57:57.902509,	Sub00,	absolute,	28,	"(493.88330125612424, 25)",	493.88330125612424,	25,	1,	2
2024-09-20 13:57:57.902567,	Sub00,	absolute,	29,	"(440.0, 22)",	440.0,	22,	1,	2
2024-09-20 13:57:57.902625,	Sub00,	absolute,	30,	"(493.88330125612424, 21)",	493.88330125612424,	21,	1,	2
2024-09-20 13:57:57.902682,	Sub00,	absolute,	31,	"(329.62755691286986, 23)",	329.62755691286986,	23,	1,	2
2024-09-20 13:57:57.902738,	Sub00,	absolute,	32,	"(440.0, 25)",	440.0,	25,	1,	2
2024-09-20 13:57:57.902802,	Sub00,	absolute,	33,	"(739.9888454232688, 24)",	739.9888454232688,	24,	1,	2
2024-09-20 13:57:57.902881,	Sub00,	absolute,	34,	"(466.1637615180898, 25)",	466.1637615180898,	25,	1,	2
2024-09-20 13:57:57.902945,	Sub00,	absolute,	35,	"(554.3652619537442, 23)",	554.3652619537442,	23,	1,	2
2024-09-20 13:57:57.903007,	Sub00,	absolute,	36,	"(369.9944227116344, 23)",	369.9944227116344,	23,	1,	2
2024-09-20 13:57:57.903085,	Sub00,	absolute,	37,	"(415.3046975799452, 25)",	415.3046975799452,	25,	1,	2
2024-09-20 13:57:57.903142,	Sub00,	absolute,	38,	"(311.1269837220809, 23)",	311.1269837220809,	23,	1,	2
2024-09-20 13:57:57.903199,	Sub00,	absolute,	39,	"(659.2551138257397, 23)",	659.2551138257397,	23,	1,	2
2024-09-20 13:57:57.903271,	Sub00,	absolute,	40,	"(622.2539674441618, 22)",	622.2539674441618,	22,	1,	2
2024-09-20 13:57:57.903375,	Sub00,	absolute,	41,	"(554.3652619537442, 25)",	554.3652619537442,	25,	1,	2
2024-09-20 13:57:57.903438,	Sub00,	absolute,	42,	"(440.0, 25)",	440.0,	25,	1,	2
2024-09-20 13:57:57.903513,	Sub00,	absolute,	43,	"(207.65234878997256, 22)",	207.65234878997256,	22,	1,	2
2024-09-20 13:57:57.903572,	Sub00,	absolute,	44,	"(587.3295358348153, 24)",	587.3295358348153,	24,	1,	2
2024-09-20 13:57:57.903663,	Sub00,	absolute,	45,	"(1244.5079348883237, 25)",	1244.5079348883237,	25,	1,	2
2024-09-20 13:57:57.903728,	Sub00,	absolute,	46,	"(987.7666025122485, 23)",	987.7666025122485,	23,	1,	2
2024-09-20 13:57:57.903792,	Sub00,	absolute,	47,	"(1244.5079348883237, 24)",	1244.5079348883237,	24,	1,	2
2024-09-20 13:57:57.903852,	Sub00,	absolute,	48,	"(246.94165062806212, 23)",	246.94165062806212,	23,	1,	2
2024-09-20 13:57:57.903932,	Sub00,	absolute,	49,	"(659.2551138257397, 22)",	659.2551138257397,	22,	1,	2
2024-09-20 13:57:57.903988,	Sub00,	absolute,	50,	"(1244.5079348883237, 25)",	1244.5079348883237,	25,	1,	2
2024-09-20 13:57:57.904044,	Sub00,	absolute,	51,	"(587.3295358348153, 21)",	587.3295358348153,	21,	1,	2
2024-09-20 13:57:57.904120,	Sub00,	absolute,	52,	"(415.3046975799452, 25)",	415.3046975799452,	25,	1,	2
