onset_sec,note,velocity,offset,duration,freq,interval
136.0,72.0,80.0,136.94791666666666,0.9479166666666572,523.2511306011972,0
137.0,67.0,80.0,137.47291666666666,0.4729166666666629,391.9954359817492,-1.3348398541700346
137.5,72.0,80.0,137.97291666666666,0.4729166666666629,523.2511306011972,1.3348398541700346
138.0,71.0,80.0,138.47291666666666,0.4729166666666629,493.88330125612424,-1.0594630943592949
138.5,69.0,80.0,138.97291666666666,0.4729166666666629,440.0,-1.1224620483093732
139.0,67.0,80.0,139.94791666666666,0.9479166666666572,391.9954359817492,-1.1224620483093732
140.0,69.0,80.0,140.94791666666666,0.9479166666666572,440.0,1.1224620483093732
141.0,64.0,80.0,141.47291666666666,0.4729166666666629,329.62755691286986,-1.3348398541700346
141.5,67.0,80.0,141.97291666666666,0.4729166666666629,391.9954359817492,1.189207115002721
142.0,65.0,80.0,142.47291666666666,0.4729166666666629,349.22823143300394,-1.1224620483093726
142.5,69.0,80.0,142.97291666666666,0.4729166666666629,440.0,1.259921049894873
143.0,72.0,80.0,143.94791666666666,0.9479166666666572,523.2511306011972,1.189207115002721
