onset_sec,note,velocity,offset,duration,freq,interval
128.0,72.0,80.0,128.94791666666666,0.9479166666666572,523.2511306011972,0
129.0,67.0,80.0,129.94791666666666,0.9479166666666572,391.9954359817492,-1.3348398541700346
130.0,72.0,80.0,130.94791666666666,0.9479166666666572,523.2511306011972,1.3348398541700346
131.0,67.0,80.0,131.94791666666666,0.9479166666666572,391.9954359817492,-1.3348398541700346
132.0,69.0,80.0,132.47291666666666,0.4729166666666629,440.0,1.1224620483093732
132.5,67.0,80.0,132.97291666666666,0.4729166666666629,391.9954359817492,-1.1224620483093732
133.0,69.0,80.0,133.47291666666666,0.4729166666666629,440.0,1.1224620483093732
133.5,71.0,80.0,133.97291666666666,0.4729166666666629,493.88330125612424,1.1224620483093732
134.0,72.0,80.0,134.94791666666666,0.9479166666666572,523.2511306011972,1.0594630943592949
135.0,60.0,80.0,135.94791666666666,0.9479166666666572,261.6255653005986,-2.0
