onset_sec,note,velocity,offset,duration,freq,interval,key
192.0,79.0,80.0,192.23541666666668,0.2354166666666799,783.9908719634984,0,g1
192.25,79.0,80.0,192.48541666666668,0.2354166666666799,783.9908719634984,-1.0,g1
192.5,78.0,80.0,192.73541666666668,0.2354166666666799,739.9888454232688,-1.0594630943592949,g1
192.75,76.0,80.0,192.98541666666668,0.2354166666666799,659.2551138257397,-1.1224620483093732,g1
193.0,74.0,80.0,193.23541666666668,0.2354166666666799,587.3295358348153,-1.1224620483093732,g1
193.25,71.0,80.0,193.48541666666668,0.2354166666666799,493.88330125612424,-1.189207115002721,g1
193.5,67.0,80.0,193.97291666666663,0.4729166666666629,391.9954359817492,-1.259921049894873,g1
194.0,67.0,80.0,194.47291666666663,0.4729166666666629,391.9954359817492,-1.0,g1
194.5,69.0,80.0,194.97291666666663,0.4729166666666629,440.0,1.1224620483093732,g1
195.0,71.0,80.0,195.47291666666663,0.4729166666666629,493.88330125612424,1.1224620483093726,g1
195.5,74.0,80.0,196.44791666666663,0.9479166666666572,587.3295358348153,1.189207115002721,g1
196.5,74.0,80.0,196.97291666666663,0.4729166666666629,587.3295358348153,-1.0,g1
197.0,71.0,80.0,197.94791666666663,0.9479166666666572,493.88330125612424,-1.189207115002721,g1
198.0,67.0,80.0,198.94791666666663,0.9479166666666572,391.9954359817492,-1.259921049894873,g1
199.0,79.0,80.0,199.94791666666663,0.9479166666666572,783.9908719634984,2.0,g1
