onset_sec,note,velocity,offset,duration,freq,interval,key
176.0,67.0,80.0,176.47291666666666,0.4729166666666629,391.9954359817492,0,c1
176.5,72.0,80.0,176.97291666666666,0.4729166666666629,523.2511306011972,1.3348398541700346,c1
177.0,60.0,80.0,177.94791666666666,0.9479166666666572,261.6255653005986,-2.0,c1
178.0,64.0,80.0,178.47291666666666,0.4729166666666629,329.62755691286986,1.259921049894873,c1
178.5,67.0,80.0,178.97291666666666,0.4729166666666629,391.9954359817492,1.189207115002721,c1
179.0,60.0,80.0,179.47291666666666,0.4729166666666629,261.6255653005986,-1.4983070768766813,c1
179.5,72.0,80.0,179.97291666666666,0.4729166666666629,523.2511306011972,2.0,c1
180.0,76.0,80.0,180.23541666666668,0.2354166666666799,659.2551138257397,1.259921049894873,c1
180.25,71.0,80.0,180.48541666666668,0.2354166666666799,493.88330125612424,-1.3348398541700337,c1
180.5,72.0,80.0,180.97291666666663,0.4729166666666629,523.2511306011972,1.0594630943592949,c1
181.0,74.0,80.0,181.23541666666668,0.2354166666666799,587.3295358348153,1.1224620483093732,c1
181.25,65.0,80.0,181.48541666666668,0.2354166666666799,349.22823143300394,-1.6817928305074292,c1
181.5,64.0,80.0,181.97291666666663,0.4729166666666629,329.62755691286986,-1.0594630943592958,c1
182.0,59.0,80.0,182.94791666666663,0.9479166666666572,246.94165062806212,-1.3348398541700337,c1
183.0,60.0,80.0,183.94791666666663,0.9479166666666572,261.6255653005986,1.0594630943592949,c1
