onset_sec,note,velocity,offset,duration,freq,interval,key
40.0,71.0,80.0,40.47291666666667,0.47291666666667,493.88330125612424,0,h
40.5,78.0,80.0,40.97291666666667,0.47291666666667,739.9888454232688,1.4983070768766813,h
41.0,75.0,80.0,41.47291666666667,0.47291666666667,622.2539674441618,-1.189207115002721,h
41.5,71.0,80.0,41.97291666666667,0.47291666666667,493.88330125612424,-1.259921049894873,h
42.0,80.0,80.0,42.47291666666667,0.47291666666667,830.6093951598904,1.6817928305074292,h
42.5,76.0,80.0,42.97291666666667,0.47291666666667,659.2551138257397,-1.259921049894873,h
43.0,78.0,80.0,43.947916666666664,0.9479166666666644,739.9888454232688,1.1224620483093726,h
44.0,78.0,80.0,44.235416666666666,0.2354166666666657,739.9888454232688,-1.0,h
44.25,76.0,80.0,44.485416666666666,0.2354166666666657,659.2551138257397,-1.1224620483093726,h
44.5,75.0,80.0,44.735416666666666,0.2354166666666657,622.2539674441618,-1.0594630943592958,h
44.75,76.0,80.0,44.985416666666666,0.2354166666666657,659.2551138257397,1.0594630943592958,h
45.0,78.0,80.0,45.235416666666666,0.2354166666666657,739.9888454232688,1.1224620483093726,h
45.25,80.0,80.0,45.485416666666666,0.2354166666666657,830.6093951598904,1.1224620483093732,h
45.5,82.0,80.0,45.735416666666666,0.2354166666666657,932.3275230361796,1.1224620483093732,h
45.75,78.0,80.0,45.985416666666666,0.2354166666666657,739.9888454232688,-1.2599210498948739,h
46.0,83.0,80.0,46.235416666666666,0.2354166666666657,987.7666025122485,1.3348398541700346,h
46.25,85.0,80.0,46.485416666666666,0.2354166666666657,1108.7305239074883,1.1224620483093732,h
46.5,87.0,80.0,46.735416666666666,0.2354166666666657,1244.5079348883237,1.1224620483093726,h
46.75,87.0,80.0,46.985416666666666,0.2354166666666657,1244.5079348883237,-1.0,h
47.0,83.0,80.0,47.947916666666664,0.9479166666666644,987.7666025122485,-1.259921049894873,h
