onset_sec,note,velocity,offset,duration,freq,interval,key
48.5,74.0,80.0,48.735416666666666,0.2354166666666657,587.3295358348153,0,g1
48.75,73.0,80.0,48.985416666666666,0.2354166666666657,554.3652619537442,-1.059463094359295,g1
49.0,74.0,80.0,49.47291666666667,0.47291666666667,587.3295358348153,1.059463094359295,g1
49.5,62.0,80.0,49.97291666666667,0.47291666666667,293.66476791740763,-1.9999999999999998,g1
50.0,67.0,80.0,50.47291666666667,0.47291666666667,391.9954359817492,1.3348398541700344,g1
50.5,70.0,80.0,50.97291666666667,0.47291666666667,466.1637615180898,1.1892071150027212,g1
51.0,69.0,80.0,51.47291666666667,0.47291666666667,440.0,-1.059463094359295,g1
51.5,72.0,80.0,51.97291666666667,0.47291666666667,523.2511306011972,1.189207115002721,g1
52.0,70.0,80.0,52.47291666666667,0.47291666666667,466.1637615180898,-1.122462048309373,g1
52.5,67.0,80.0,52.735416666666666,0.2354166666666657,391.9954359817492,-1.1892071150027212,g1
52.75,66.0,80.0,52.985416666666666,0.2354166666666657,369.9944227116344,-1.059463094359295,g1
53.0,67.0,80.0,53.47291666666667,0.47291666666667,391.9954359817492,1.059463094359295,g1
53.5,55.0,80.0,53.97291666666667,0.47291666666667,195.99771799087466,-2.0,g1
54.0,62.0,80.0,54.47291666666667,0.47291666666667,293.66476791740763,1.4983070768766815,g1
54.5,62.0,80.0,54.97291666666667,0.47291666666667,293.66476791740763,-1.0,g1
55.0,67.0,80.0,55.94791666666666,0.9479166666666644,391.9954359817492,1.3348398541700344,g1
