onset_sec,note,velocity,offset,duration,freq,interval,key
136.0,83.0,80.0,136.94791666666666,0.9479166666666572,987.7666025122485,0,h
137.0,78.0,80.0,137.47291666666666,0.4729166666666629,739.9888454232688,-1.3348398541700346,h
137.5,83.0,80.0,137.97291666666666,0.4729166666666629,987.7666025122485,1.3348398541700346,h
138.0,82.0,80.0,138.47291666666666,0.4729166666666629,932.3275230361796,-1.0594630943592949,h
138.5,80.0,80.0,138.97291666666666,0.4729166666666629,830.6093951598904,-1.1224620483093732,h
139.0,78.0,80.0,139.94791666666666,0.9479166666666572,739.9888454232688,-1.1224620483093732,h
140.0,80.0,80.0,140.94791666666666,0.9479166666666572,830.6093951598904,1.1224620483093732,h
141.0,75.0,80.0,141.47291666666666,0.4729166666666629,622.2539674441618,-1.3348398541700346,h
141.5,78.0,80.0,141.97291666666666,0.4729166666666629,739.9888454232688,1.189207115002721,h
142.0,76.0,80.0,142.47291666666666,0.4729166666666629,659.2551138257397,-1.1224620483093726,h
142.5,80.0,80.0,142.97291666666666,0.4729166666666629,830.6093951598904,1.259921049894873,h
143.0,83.0,80.0,143.94791666666666,0.9479166666666572,987.7666025122485,1.189207115002721,h
