onset_sec,note,velocity,offset,duration,freq,interval,key
208.0,69.0,80.0,208.47291666666663,0.4729166666666629,440.0,0,a
208.5,64.0,80.0,208.97291666666663,0.4729166666666629,329.62755691286986,-1.3348398541700346,a
209.0,64.0,80.0,209.23541666666668,0.2354166666666799,329.62755691286986,-1.0,a
209.25,66.0,80.0,209.48541666666668,0.2354166666666799,369.9944227116344,1.1224620483093732,a
209.5,64.0,80.0,209.73541666666668,0.2354166666666799,329.62755691286986,-1.1224620483093732,a
209.75,62.0,80.0,209.98541666666668,0.2354166666666799,293.66476791740763,-1.1224620483093726,a
210.0,61.0,80.0,210.47291666666663,0.4729166666666629,277.1826309768721,-1.0594630943592958,a
210.5,62.0,80.0,210.97291666666663,0.4729166666666629,293.66476791740763,1.0594630943592958,a
211.0,64.0,80.0,211.94791666666663,0.9479166666666572,329.62755691286986,1.1224620483093726,a
212.0,69.0,80.0,212.47291666666663,0.4729166666666629,440.0,1.3348398541700346,a
212.5,64.0,80.0,212.97291666666663,0.4729166666666629,329.62755691286986,-1.3348398541700346,a
213.0,64.0,80.0,213.23541666666668,0.2354166666666799,329.62755691286986,-1.0,a
213.25,66.0,80.0,213.48541666666668,0.2354166666666799,369.9944227116344,1.1224620483093732,a
213.5,64.0,80.0,213.73541666666668,0.2354166666666799,329.62755691286986,-1.1224620483093732,a
213.75,62.0,80.0,213.98541666666668,0.2354166666666799,293.66476791740763,-1.1224620483093726,a
214.0,61.0,80.0,214.47291666666663,0.4729166666666629,277.1826309768721,-1.0594630943592958,a
214.5,59.0,80.0,214.97291666666663,0.4729166666666629,246.94165062806212,-1.1224620483093726,a
215.0,57.0,80.0,215.94791666666663,0.9479166666666572,220.0,-1.1224620483093732,a
