onset_sec,note,velocity,offset,duration,freq,interval,key
144.0,60.0,80.0,144.94791666666666,0.9479166666666572,261.6255653005986,0,c1
145.0,67.0,80.0,145.94791666666666,0.9479166666666572,391.9954359817492,1.4983070768766813,c1
146.0,64.0,80.0,146.94791666666666,0.9479166666666572,329.62755691286986,-1.189207115002721,c1
147.0,59.0,80.0,147.94791666666666,0.9479166666666572,246.94165062806212,-1.3348398541700337,c1
148.0,64.0,80.0,149.42291666666668,1.42291666666668,329.62755691286986,1.3348398541700337,c1
149.5,62.0,80.0,149.97291666666666,0.4729166666666629,293.66476791740763,-1.1224620483093726,c1
150.0,60.0,80.0,150.94791666666666,0.9479166666666572,261.6255653005986,-1.1224620483093732,c1
151.0,72.0,80.0,151.94791666666666,0.9479166666666572,523.2511306011972,2.0,c1
