onset_sec,note,velocity,offset,duration,freq,interval,key
128.0,76.0,80.0,128.94791666666666,0.9479166666666572,659.2551138257397,0,e
129.0,71.0,80.0,129.94791666666666,0.9479166666666572,493.88330125612424,-1.3348398541700346,e
130.0,76.0,80.0,130.94791666666666,0.9479166666666572,659.2551138257397,1.3348398541700346,e
131.0,71.0,80.0,131.94791666666666,0.9479166666666572,493.88330125612424,-1.3348398541700346,e
132.0,73.0,80.0,132.47291666666666,0.4729166666666629,554.3652619537442,1.1224620483093732,e
132.5,71.0,80.0,132.97291666666666,0.4729166666666629,493.88330125612424,-1.1224620483093732,e
133.0,73.0,80.0,133.47291666666666,0.4729166666666629,554.3652619537442,1.1224620483093732,e
133.5,75.0,80.0,133.97291666666666,0.4729166666666629,622.2539674441618,1.1224620483093732,e
134.0,76.0,80.0,134.94791666666666,0.9479166666666572,659.2551138257397,1.0594630943592949,e
135.0,64.0,80.0,135.94791666666666,0.9479166666666572,329.62755691286986,-2.0,e
