onset_sec,note,velocity,offset,duration,freq,interval
72.0,64.0,80.0,72.47291666666666,0.4729166666666629,329.62755691286986,0
72.5,65.0,80.0,72.73541666666667,0.2354166666666657,349.22823143300394,1.0594630943592958
72.75,66.0,80.0,72.98541666666667,0.2354166666666657,369.9944227116344,1.059463094359295
73.0,69.0,80.0,73.47291666666666,0.4729166666666629,440.0,1.189207115002721
73.5,67.0,80.0,73.97291666666666,0.4729166666666629,391.9954359817492,-1.1224620483093732
74.0,72.0,80.0,74.47291666666666,0.4729166666666629,523.2511306011972,1.3348398541700346
74.5,64.0,80.0,75.44791666666667,0.9479166666666714,329.62755691286986,-1.5874010519681998
75.5,69.0,80.0,75.97291666666666,0.4729166666666629,440.0,1.3348398541700346
76.0,67.0,80.0,76.47291666666666,0.4729166666666629,391.9954359817492,-1.1224620483093732
76.5,65.0,80.0,76.73541666666667,0.2354166666666657,349.22823143300394,-1.1224620483093726
76.75,64.0,80.0,76.98541666666667,0.2354166666666657,329.62755691286986,-1.0594630943592958
77.0,62.0,80.0,77.47291666666666,0.4729166666666629,293.66476791740763,-1.1224620483093726
77.5,60.0,80.0,77.97291666666666,0.4729166666666629,261.6255653005986,-1.1224620483093732
78.0,64.0,80.0,78.47291666666666,0.4729166666666629,329.62755691286986,1.259921049894873
78.5,55.0,80.0,79.92291666666667,1.4229166666666655,195.99771799087463,-1.6817928305074288
