onset_sec,note,velocity,offset,duration,freq,interval,key
64.0,64.0,80.0,64.71041666666666,0.71041666666666,329.62755691286986,0,a
64.75,62.0,80.0,64.98541666666667,0.2354166666666657,293.66476791740763,-1.1224620483093726,a
65.0,59.0,80.0,65.47291666666666,0.4729166666666629,246.94165062806212,-1.189207115002721,a
65.5,59.0,80.0,65.73541666666667,0.2354166666666657,246.94165062806212,-1.0,a
65.75,60.0,80.0,65.98541666666667,0.2354166666666657,261.6255653005986,1.059463094359295,a
66.0,57.0,80.0,66.94791666666667,0.9479166666666714,220.0,-1.1892071150027212,a
67.0,61.0,80.0,67.47291666666666,0.4729166666666629,277.1826309768721,1.259921049894873,a
67.5,64.0,80.0,67.97291666666666,0.4729166666666629,329.62755691286986,1.189207115002721,a
68.0,64.0,80.0,68.71041666666666,0.71041666666666,329.62755691286986,-1.0,a
68.75,62.0,80.0,68.98541666666667,0.2354166666666657,293.66476791740763,-1.1224620483093726,a
69.0,59.0,80.0,69.47291666666666,0.4729166666666629,246.94165062806212,-1.189207115002721,a
69.5,59.0,80.0,69.73541666666667,0.2354166666666657,246.94165062806212,-1.0,a
69.75,56.0,80.0,69.98541666666667,0.2354166666666657,207.65234878997256,-1.189207115002721,a
70.0,57.0,80.0,70.47291666666666,0.4729166666666629,220.0,1.0594630943592949,a
70.5,61.0,80.0,70.97291666666666,0.4729166666666629,277.1826309768721,1.259921049894873,a
71.0,52.0,80.0,71.94791666666667,0.9479166666666714,164.813778456435,-1.6817928305074288,a
