onset_sec,note,velocity,offset,duration,freq
0.0,60.0,80.0,0.7104166666666667,0.7104166666666667,261.6255653005986
0.75,62.0,80.0,0.9854166666666666,0.2354166666666666,293.66476791740763
0.9999999999999999,63.0,80.0,1.4729166666666664,0.47291666666666654,311.1269837220809
1.4999999999999998,63.0,80.0,1.9729166666666664,0.47291666666666665,311.1269837220809
1.9999999999999998,63.0,80.0,2.7104166666666663,0.7104166666666665,311.1269837220809
2.7499999999999996,65.0,80.0,2.985416666666666,0.2354166666666666,349.22823143300394
2.9999999999999996,67.0,80.0,3.4729166666666664,0.4729166666666669,391.9954359817492
3.4999999999999996,67.0,80.0,3.9729166666666664,0.4729166666666669,391.9954359817492
3.9999999999999996,66.0,80.0,4.472916666666666,0.4729166666666669,369.9944227116344
4.5,67.0,80.0,4.972916666666666,0.47291666666666643,391.9954359817492
5.0,63.0,80.0,5.472916666666666,0.47291666666666643,311.1269837220809
5.5,60.0,80.0,5.972916666666666,0.47291666666666643,261.6255653005986
6.0,67.0,80.0,7.897916666666667,1.8979166666666671,391.9954359817492
8.0,64.0,80.0,8.472916666666666,0.47291666666666643,329.62755691286986
8.5,67.0,80.0,9.447916666666666,0.9479166666666661,391.9954359817492
9.5,65.0,80.0,9.972916666666666,0.47291666666666643,349.22823143300394
10.0,62.0,80.0,10.472916666666666,0.47291666666666643,293.66476791740763
10.5,65.0,80.0,11.447916666666666,0.9479166666666661,349.22823143300394
11.5,64.0,80.0,11.972916666666666,0.47291666666666643,329.62755691286986
12.0,64.0,80.0,12.472916666666666,0.47291666666666643,329.62755691286986
12.5,62.0,80.0,12.735416666666667,0.2354166666666675,293.66476791740763
12.75,60.0,80.0,12.985416666666667,0.2354166666666675,261.6255653005986
13.0,59.0,80.0,13.472916666666666,0.47291666666666643,246.94165062806212
13.5,60.0,80.0,13.972916666666666,0.47291666666666643,261.6255653005986
14.0,62.0,80.0,14.947916666666666,0.9479166666666661,293.66476791740763
15.0,67.0,80.0,15.947916666666666,0.9479166666666661,391.9954359817492
16.0,60.0,80.0,16.472916666666666,0.47291666666666643,261.6255653005986
16.5,64.0,80.0,16.972916666666666,0.47291666666666643,329.62755691286986
17.0,67.0,80.0,17.472916666666666,0.47291666666666643,391.9954359817492
17.5,67.0,80.0,17.972916666666666,0.47291666666666643,391.9954359817492
18.0,65.0,80.0,18.472916666666666,0.47291666666666643,349.22823143300394
18.5,64.0,80.0,18.972916666666666,0.47291666666666643,329.62755691286986
19.0,62.0,80.0,19.472916666666666,0.47291666666666643,293.66476791740763
19.5,60.0,80.0,19.972916666666666,0.47291666666666643,261.6255653005986
20.0,62.0,80.0,20.472916666666666,0.47291666666666643,293.66476791740763
20.5,64.0,80.0,20.972916666666666,0.47291666666666643,329.62755691286986
21.0,60.0,80.0,21.947916666666668,0.9479166666666679,261.6255653005986
22.0,62.0,80.0,22.472916666666666,0.47291666666666643,293.66476791740763
22.5,64.0,80.0,22.972916666666666,0.47291666666666643,329.62755691286986
23.0,60.0,80.0,23.947916666666668,0.9479166666666679,261.6255653005986
24.0,67.0,80.0,24.947916666666668,0.9479166666666679,391.9954359817492
25.0,68.0,80.0,25.472916666666666,0.47291666666666643,415.3046975799452
25.5,65.0,80.0,25.972916666666666,0.47291666666666643,349.22823143300394
26.0,67.0,80.0,26.947916666666668,0.9479166666666679,391.9954359817492
27.0,72.0,80.0,27.472916666666666,0.47291666666666643,523.2511306011972
27.5,74.0,80.0,27.972916666666666,0.47291666666666643,587.3295358348153
28.0,75.0,80.0,28.947916666666668,0.9479166666666679,622.2539674441618
29.0,74.0,80.0,29.472916666666666,0.47291666666666643,587.3295358348153
29.5,71.0,80.0,29.972916666666666,0.47291666666666643,493.88330125612424
30.0,72.0,80.0,30.947916666666668,0.9479166666666679,523.2511306011972
31.0,67.0,80.0,31.947916666666668,0.9479166666666679,391.9954359817492
32.0,72.0,80.0,32.947916666666664,0.9479166666666643,523.2511306011972
33.0,67.0,80.0,33.947916666666664,0.9479166666666643,391.9954359817492
34.0,65.0,80.0,34.47291666666667,0.47291666666667,349.22823143300394
34.5,67.0,80.0,34.97291666666667,0.47291666666667,391.9954359817492
35.0,68.0,80.0,35.947916666666664,0.9479166666666643,415.3046975799452
36.0,67.0,80.0,36.47291666666667,0.47291666666667,391.9954359817492
36.5,65.0,80.0,36.97291666666667,0.47291666666667,349.22823143300394
37.0,67.0,80.0,37.947916666666664,0.9479166666666643,391.9954359817492
38.0,60.0,80.0,38.947916666666664,0.9479166666666643,261.6255653005986
39.0,60.0,80.0,39.947916666666664,0.9479166666666643,261.6255653005986
40.0,60.0,80.0,40.47291666666667,0.47291666666667,261.6255653005986
40.5,67.0,80.0,40.97291666666667,0.47291666666667,391.9954359817492
41.0,64.0,80.0,41.47291666666667,0.47291666666667,329.62755691286986
41.5,60.0,80.0,41.97291666666667,0.47291666666667,261.6255653005986
42.0,69.0,80.0,42.47291666666667,0.47291666666667,440.0
42.5,65.0,80.0,42.97291666666667,0.47291666666667,349.22823143300394
43.0,67.0,80.0,43.947916666666664,0.9479166666666643,391.9954359817492
