onset_sec,note,velocity,offset,duration,freq,interval,key
88.0,79.0,80.0,88.94791666666667,0.9479166666666714,783.9908719634984,0,c2
89.0,76.0,80.0,89.94791666666667,0.9479166666666714,659.2551138257397,-1.189207115002721,c2
90.0,84.0,80.0,90.94791666666669,0.9479166666666714,1046.5022612023945,1.5874010519681998,c2
91.0,81.0,80.0,91.94791666666669,0.9479166666666714,880.0,-1.189207115002721,c2
92.0,79.0,80.0,92.47291666666666,0.4729166666666629,783.9908719634984,-1.1224620483093732,c2
92.5,72.0,80.0,92.97291666666666,0.4729166666666629,523.2511306011972,-1.4983070768766813,c2
93.0,77.0,80.0,93.47291666666666,0.4729166666666629,698.4564628660079,1.3348398541700346,c2
93.5,76.0,80.0,93.97291666666666,0.4729166666666629,659.2551138257397,-1.0594630943592958,c2
94.0,74.0,80.0,94.47291666666666,0.4729166666666629,587.3295358348153,-1.1224620483093726,c2
94.5,77.0,80.0,94.97291666666666,0.4729166666666629,698.4564628660079,1.189207115002721,c2
95.0,69.0,80.0,95.94791666666669,0.9479166666666714,440.0,-1.5874010519681998,c2
