onset_sec,note,velocity,offset,duration,freq,interval,key
24.0,74.0,80.0,24.947916666666668,0.947916666666668,587.3295358348153,0,g1
25.0,75.0,80.0,25.472916666666663,0.4729166666666664,622.2539674441618,1.0594630943592955,g1
25.5,72.0,80.0,25.972916666666663,0.4729166666666664,523.2511306011972,-1.189207115002721,g1
26.0,74.0,80.0,26.947916666666668,0.947916666666668,587.3295358348153,1.1224620483093726,g1
27.0,79.0,80.0,27.472916666666663,0.4729166666666664,783.9908719634984,1.3348398541700346,g1
27.5,81.0,80.0,27.972916666666663,0.4729166666666664,880.0,1.1224620483093732,g1
28.0,82.0,80.0,28.947916666666668,0.947916666666668,932.3275230361796,1.059463094359295,g1
29.0,81.0,80.0,29.472916666666663,0.4729166666666664,880.0,-1.059463094359295,g1
29.5,78.0,80.0,29.972916666666663,0.4729166666666664,739.9888454232688,-1.189207115002721,g1
30.0,79.0,80.0,30.947916666666668,0.947916666666668,783.9908719634984,1.0594630943592949,g1
31.0,74.0,80.0,31.947916666666668,0.947916666666668,587.3295358348153,-1.3348398541700346,g1
